eid source target volume capacity voc degree free_travel_time travel_time
101 1 2 66.1605 2850 0.0232142 178 0.268594 0.268594
20415 1 5748 24.1658 2850 0.00847923 70 1.23856 1.23856
14254 1 9437 95.9072 2850 0.0336516 338 1.35403 1.35403
11874 2 9950 16.607 9405 0.00176576 5 1.06739 1.06739
16603 2 1 78.9396 2850 0.0276981 299 0.268594 0.268595
6680 2 7438 64.4508 2850 0.0226143 83 1.28415 1.28415
143 3 4 1130.42 6963 0.162347 951 0.0253158 0.0253184
8904 4 6778 152.181 1900 0.0800952 160 0.0396587 0.039659
4373 4 5131 1007.39 6963 0.144677 887 0.0267695 0.0267713
15522 4 10095 746.218 6963 0.107169 410 0.025433 0.0254335
16128 4 10005 1012.96 1900 0.533137 881 0.039383 0.0398603
173 5 6 5486.64 6963 0.787971 990 0.168123 0.177845
16856 6 9714 6590.11 6963 0.946446 1124 0.321262 0.359928
367 7 8 1214.45 6963 0.174415 681 0.00582652 0.00582733
13750 8 4396 1213.35 1900 0.638603 679 0.0316785 0.0324687
14806 9 3454 57.56 9405 0.00612015 172 0.661006 0.661006
371 9 10 25.985 9405 0.00276289 24 0.990579 0.990579
6026 10 9 18.027 9405 0.00191675 102 0.990579 0.990579
1146 10 2823 995.798 3800 0.262052 610 0.258379 0.258562
436 11 12 4.1091 1900 0.00216268 18 0.168919 0.168919
10859 11 9713 33.0044 1900 0.0173707 204 0.168925 0.168925
17099 11 1799 2.217 9405 0.000235726 14 0.379136 0.379136
18020 12 8698 21.77 1900 0.0114579 121 0.513992 0.513992
17015 12 4350 5.5717 1900 0.00293247 24 0.674154 0.674154
19947 12 11 6.9763 1900 0.00367174 45 0.168919 0.168919
19315 13 3087 1.187 2850 0.000416491 5 0.270314 0.270314
488 13 14 30.053 1900 0.0158174 183 0.0664432 0.0664432
2730 14 4758 37.135 1900 0.0195447 232 0.320546 0.320546
549 15 16 213.825 9284 0.0230316 109 0.287851 0.287851
17840 15 6055 44.256 1900 0.0232926 31 0.408481 0.408481
3636 16 4751 417.17 9284 0.0449343 520 0.223071 0.223071
705 17 18 1015.07 2850 0.356166 928 0.0302859 0.030359
523 18 1855 989.157 2850 0.347072 914 0.448956 0.449934
8974 18 977 23.2655 950 0.02449 166 0.374725 0.374725
8312 19 7909 110.414 2850 0.0387419 285 0.780861 0.780862
8302 19 2090 137.213 2850 0.0481448 145 0.796261 0.796261
4657 19 3354 534.822 3800 0.140743 704 0.59296 0.592994
706 19 20 803.54 3800 0.211458 778 0.584311 0.584486
19177 20 6237 1086.21 2850 0.381126 698 0.604596 0.60651
12971 20 6193 406.826 3800 0.107059 581 0.473452 0.473461
16987 20 19 530.076 3800 0.139494 738 0.584311 0.584344
19790 20 3523 1512.29 2850 0.53063 878 0.536168 0.542544
718 21 2168 1.1636 9405 0.000123721 3 0.863545 0.863545
709 21 22 3.466 9405 0.000368527 6 0.698813 0.698813
710 21 384 3.202 9405 0.000340457 20 0.720328 0.720328
7500 21 7889 0.7571 9405 8.04997e-05 7 0.899668 0.899668
14164 22 21 1.2481 9405 0.000132706 14 0.698813 0.698813
9960 22 9454 10.5262 2850 0.0036934 59 0.133001 0.133001
4170 22 5242 1.7232 2850 0.000604632 28 0.38482 0.38482
17659 23 2353 2328.52 6963 0.334413 745 0.681388 0.682667
738 23 24 1401.29 950 1.47504 455 0.168204 0.287643
8554 24 453 1438.8 2850 0.504842 528 0.36567 0.369233
766 25 26 381.153 1900 0.200607 649 0.138403 0.138437
8340 26 8838 0.587 1900 0.000308947 7 0.306635 0.306635
8724 26 5262 398.626 1900 0.209803 665 0.0515537 0.0515687
858 27 28 3.169 1900 0.00166789 32 0.148655 0.148656
11945 27 3587 64.941 2850 0.0227863 201 0.312 0.312
2806 28 2429 7.7278 1900 0.00406726 53 0.190985 0.190985
11671 28 27 5.9047 1900 0.00310774 27 0.148655 0.148656
13205 28 5813 0 1900 0 0 0.149008 0.149008
14515 28 9529 4.75 1900 0.0025 30 0.385731 0.385731
859 29 30 0.113 9405 1.20149e-05 4 0.808157 0.808158
8884 30 9085 0.149 2850 5.22807e-05 5 2.57598 2.57598
16313 30 5029 0 2850 0 0 2.68633 2.68633
6366 30 29 0.094 9405 9.99468e-06 3 0.808157 0.808158
7516 31 586 60.714 1900 0.0319547 308 2.02304 2.02304
13344 31 9278 22.439 9405 0.00238586 153 0.885217 0.885217
1041 31 32 7.635 1900 0.00401842 21 2.02303 2.02303
2731 32 215 38.162 1900 0.0200853 219 1.26878 1.26878
12205 32 31 4.785 1900 0.00251842 14 2.02303 2.02303
21438 32 9039 24.966 1900 0.01314 164 1.85621 1.85621
1076 33 35 2189.4 6963 0.314433 1051 0.19116 0.19144
1075 33 34 402.355 1900 0.211766 324 0.257797 0.257875
12242 34 8540 628.857 2850 0.220652 523 0.326876 0.326992
4263 35 6246 2264.9 6963 0.325276 1055 0.717408 0.718612
1077 36 37 6.273 9405 0.000666986 63 2.12411 2.12411
5181 37 6973 3.264 9405 0.000347049 41 1.68118 1.68118
16972 37 2736 0 2850 0 0 1.77042 1.77042
6594 37 36 2.596 9405 0.000276023 32 2.12411 2.12411
9417 37 3921 19.236 2850 0.00674947 135 1.77079 1.77079
17696 38 8247 1133.13 6963 0.162736 781 0.350609 0.350645
1078 38 39 930.688 1900 0.489836 176 0.297396 0.299964
14222 39 7773 2473.24 6963 0.355197 494 0.493161 0.494338
1079 40 41 1899.9 950 1.99989 886 0.189383 0.643803
6853 40 7270 2268.99 9284 0.244398 790 0.432221 0.432452
3448 41 5521 2154.88 1900 1.13415 946 0.107564 0.134259
5880 42 7467 90.6571 9405 0.00963924 248 2.04202 2.04202
1080 42 43 29.961 9405 0.00318565 136 2.28268 2.28269
17890 42 10175 33.7722 2850 0.0118499 160 2.86711 2.86711
8253 42 7932 4.239 2850 0.00148737 11 2.86712 2.86712
7605 43 42 48.059 9405 0.00510994 173 2.28268 2.28269
5833 44 7440 1198.87 2850 0.420656 860 0.0360337 0.0362029
8205 44 5975 821.027 2850 0.28808 889 1.61323 1.6149
6970 44 3158 277.018 2850 0.0971994 513 3.26354 3.26358
1081 44 45 1485.15 2850 0.521107 1008 0.0919448 0.0929618
567 44 1924 292.003 2850 0.102457 76 1.84673 1.84676
11676 45 9915 2013.24 2850 0.7064 1031 0.324738 0.336867
1166 46 47 0 9405 0 0 6.3641 6.3641
2084 46 1157 0 6963 0 0 5.54963 5.54963
9265 47 46 0 9405 0 0 6.3641 6.3641
1612 48 2366 11.4666 950 0.0120701 75 0.496286 0.496286
1059 48 49 0 9405 0 0 2.76171 2.76171
13722 48 8820 28.3664 950 0.0298594 65 0.152741 0.152741
2726 48 210 24.4959 950 0.0257852 164 0.148275 0.148275
541 49 1888 18.6919 9405 0.00198744 13 1.46653 1.46653
18262 49 3125 0.467 9405 4.96544e-05 3 2.34277 2.34277
13690 49 4537 41.493 9405 0.0044118 167 0.403873 0.403873
8622 49 48 0.6 9405 6.37959e-05 2 2.76171 2.76171
14296 50 1194 74.9694 2850 0.026305 261 1.79373 1.79373
16622 50 2186 29.9246 2850 0.0104999 153 1.81474 1.81474
1259 50 51 8.44 2850 0.0029614 13 0.882324 0.882324
6375 51 50 86.793 2850 0.0304537 346 0.882324 0.882324
6250 51 7720 6.858 1900 0.00360947 9 0.447925 0.447925
21398 52 5136 202.755 6963 0.0291189 604 0.643175 0.643175
14952 52 653 3.15 2850 0.00110526 8 1.61851 1.61851
1260 52 53 0.021 2850 7.36842e-06 2 1.27875 1.27875
21402 52 5693 129.159 6963 0.0185493 549 0.538829 0.538829
11228 53 5135 0 2850 0 0 1.58428 1.58428
10530 53 5348 0 2850 0 0 1.62849 1.62849
9621 53 9354 0 9405 0 0 0.874066 0.874066
17428 53 9362 0 2850 0 0 1.323 1.323
822 53 52 0 2850 0 0 1.27875 1.27875
9754 54 3755 55.0611 2850 0.0193197 338 1.00105 1.00105
1261 54 55 31.4324 2850 0.0110289 35 1.02848 1.02848
5909 54 625 67.8194 2850 0.0237963 281 0.235526 0.235526
18083 54 9520 18.928 9405 0.00201255 143 0.514859 0.514859
6533 55 6134 107.892 2850 0.037857 342 0.52467 0.52467
19539 55 5988 146.556 2850 0.0514232 419 0.245068 0.245069
9205 55 54 13.448 2850 0.0047186 11 1.02848 1.02848
11173 56 6522 65.412 1900 0.0344274 424 0.820738 0.820738
1262 56 57 41.6944 1900 0.0219444 69 0.510342 0.510342
8916 56 8129 14.211 9405 0.001511 122 0.281513 0.281513
9403 56 6827 34.9733 1900 0.018407 80 0.722123 0.722123
449 56 1734 11.1478 1900 0.00586726 54 0.347279 0.347279
12754 57 3297 36.7189 1900 0.0193257 139 0.655263 0.655263
16596 57 2130 6.1186 1900 0.00322032 53 0.34544 0.34544
5431 57 56 39.7921 1900 0.0209432 327 0.510342 0.510342
1792 57 3702 43.0347 1900 0.0226498 208 0.286973 0.286973
21076 58 4036 20.2826 9405 0.00215658 53 1.41126 1.41126
1284 58 59 14.32 950 0.0150737 64 0.534828 0.534828
14577 58 2264 165.707 950 0.174428 433 0.726724 0.726825
9898 58 1591 25.3652 950 0.0267002 169 0.745109 0.745109
16019 58 5536 20.2919 950 0.0213599 48 0.824231 0.824231
10302 59 5419 151.635 2850 0.0532053 377 0.37113 0.371131
8575 59 58 88.7669 950 0.0934389 291 0.534828 0.534834
537 60 1878 4.7134 950 0.00496147 49 1.2826 1.2826
1285 60 61 8.4364 950 0.00888042 46 1.82333 1.82333
6002 60 2160 0.105 950 0.000110526 4 1.1254 1.1254
8069 61 434 0.018 950 1.89474e-05 4 2.40535 2.40535
1768 61 3671 8.4364 950 0.00888042 46 2.71278 2.71278
